# Processado em: 2025-03-10T18:29:17.415891
,data_da_medicao,niveldagua_m,date,tempo_s
3796,06/12/2021,23.54,2021-12-06,692064000.0
3797,07/12/2021,23.65,2021-12-07,692150400.0
3798,08/12/2021,23.65,2021-12-08,692236800.0
3799,09/12/2021,23.66,2021-12-09,692323200.0
3800,10/12/2021,23.66,2021-12-10,692409600.0
3801,11/12/2021,23.66,2021-12-11,692496000.0
3802,12/12/2021,23.67,2021-12-12,692582400.0
3803,13/12/2021,23.69,2021-12-13,692668800.0
3804,14/12/2021,23.71,2021-12-14,692755200.0
3805,15/12/2021,23.72,2021-12-15,692841600.0
3806,16/12/2021,23.74,2021-12-16,692928000.0
3807,17/12/2021,23.75,2021-12-17,693014400.0
3808,18/12/2021,23.77,2021-12-18,693100800.0
3809,19/12/2021,23.77,2021-12-19,693187200.0
3810,20/12/2021,23.78,2021-12-20,693273600.0
3811,21/12/2021,23.79,2021-12-21,693360000.0
3812,22/12/2021,23.8,2021-12-22,693446400.0
3813,23/12/2021,23.82,2021-12-23,693532800.0
3814,24/12/2021,23.84,2021-12-24,693619200.0
3815,25/12/2021,23.85,2021-12-25,693705600.0
3816,26/12/2021,23.87,2021-12-26,693792000.0
3817,27/12/2021,23.88,2021-12-27,693878400.0
3818,28/12/2021,23.88,2021-12-28,693964800.0
3819,29/12/2021,23.92,2021-12-29,694051200.0
3820,30/12/2021,23.92,2021-12-30,694137600.0
3821,31/12/2021,23.91,2021-12-31,694224000.0
3822,01/01/2022,23.93,2022-01-01,694310400.0
3823,02/01/2022,23.96,2022-01-02,694396800.0
3824,03/01/2022,23.97,2022-01-03,694483200.0
3825,04/01/2022,23.97,2022-01-04,694569600.0
3826,05/01/2022,23.98,2022-01-05,694656000.0
3827,06/01/2022,24.01,2022-01-06,694742400.0
3828,07/01/2022,24.04,2022-01-07,694828800.0
3829,08/01/2022,24.05,2022-01-08,694915200.0
3830,09/01/2022,24.06,2022-01-09,695001600.0
3831,10/01/2022,24.06,2022-01-10,695088000.0
3832,11/01/2022,24.06,2022-01-11,695174400.0
3833,12/01/2022,24.09,2022-01-12,695260800.0
3834,13/01/2022,24.11,2022-01-13,695347200.0
3835,14/01/2022,24.11,2022-01-14,695433600.0
3836,15/01/2022,24.1,2022-01-15,695520000.0
3837,16/01/2022,24.07,2022-01-16,695606400.0
3838,17/01/2022,24.07,2022-01-17,695692800.0
3839,18/01/2022,24.07,2022-01-18,695779200.0
3840,19/01/2022,24.02,2022-01-19,695865600.0
3841,20/01/2022,23.97,2022-01-20,695952000.0
3842,21/01/2022,23.95,2022-01-21,696038400.0
3843,22/01/2022,23.95,2022-01-22,696124800.0
3844,23/01/2022,23.92,2022-01-23,696211200.0
3845,24/01/2022,23.91,2022-01-24,696297600.0
3846,25/01/2022,23.91,2022-01-25,696384000.0
3847,26/01/2022,23.9,2022-01-26,696470400.0
3848,27/01/2022,23.89,2022-01-27,696556800.0
3849,28/01/2022,23.87,2022-01-28,696643200.0
3850,29/01/2022,23.86,2022-01-29,696729600.0
3851,30/01/2022,23.85,2022-01-30,696816000.0
3852,31/01/2022,23.84,2022-01-31,696902400.0
3853,01/02/2022,23.81,2022-02-01,696988800.0
3854,02/02/2022,23.77,2022-02-02,697075200.0
3855,03/02/2022,23.73,2022-02-03,697161600.0
3856,04/02/2022,23.67,2022-02-04,697248000.0
3857,05/02/2022,23.63,2022-02-05,697334400.0
3858,06/02/2022,23.61,2022-02-06,697420800.0
3859,07/02/2022,23.61,2022-02-07,697507200.0
3860,08/02/2022,23.59,2022-02-08,697593600.0
3861,09/02/2022,23.56,2022-02-09,697680000.0
3862,10/02/2022,23.54,2022-02-10,697766400.0
3863,11/02/2022,23.53,2022-02-11,697852800.0
3864,12/02/2022,23.52,2022-02-12,697939200.0
3865,13/02/2022,23.51,2022-02-13,698025600.0
3866,14/02/2022,23.54,2022-02-14,698112000.0
3867,15/02/2022,23.54,2022-02-15,698198400.0
3868,16/02/2022,23.54,2022-02-16,698284800.0
3869,17/02/2022,23.52,2022-02-17,698371200.0
3870,18/02/2022,23.51,2022-02-18,698457600.0
3871,19/02/2022,23.51,2022-02-19,698544000.0
3872,20/02/2022,23.53,2022-02-20,698630400.0
3873,21/02/2022,23.55,2022-02-21,698716800.0
3874,22/02/2022,23.56,2022-02-22,698803200.0
3875,23/02/2022,23.56,2022-02-23,698889600.0
3876,24/02/2022,23.57,2022-02-24,698976000.0
3877,25/02/2022,23.58,2022-02-25,699062400.0
3878,26/02/2022,23.57,2022-02-26,699148800.0
3879,27/02/2022,23.58,2022-02-27,699235200.0
3880,28/02/2022,23.58,2022-02-28,699321600.0
3881,01/03/2022,23.59,2022-03-01,699408000.0
3882,02/03/2022,23.58,2022-03-02,699494400.0
3883,03/03/2022,23.58,2022-03-03,699580800.0
3884,04/03/2022,23.58,2022-03-04,699667200.0
3885,05/03/2022,23.6,2022-03-05,699753600.0
3886,06/03/2022,23.59,2022-03-06,699840000.0
3887,07/03/2022,23.59,2022-03-07,699926400.0
3888,08/03/2022,23.58,2022-03-08,700012800.0
3889,08/03/2022,23.58,2022-03-08,700012800.0
3890,09/03/2022,23.58,2022-03-09,700099200.0
3891,10/03/2022,23.58,2022-03-10,700185600.0
3892,11/03/2022,23.56,2022-03-11,700272000.0
3893,12/03/2022,23.53,2022-03-12,700358400.0
3894,13/03/2022,23.39,2022-03-13,700444800.0
3895,14/03/2022,23.22,2022-03-14,700531200.0
3896,15/03/2022,23.08,2022-03-15,700617600.0
3897,16/03/2022,22.94,2022-03-16,700704000.0
3898,17/03/2022,22.8,2022-03-17,700790400.0
3899,18/03/2022,22.68,2022-03-18,700876800.0
3900,19/03/2022,22.52,2022-03-19,700963200.0
3901,20/03/2022,22.42,2022-03-20,701049600.0
3902,21/03/2022,22.34,2022-03-21,701136000.0
3903,22/03/2022,22.25,2022-03-22,701222400.0
3904,23/03/2022,22.22,2022-03-23,701308800.0
3905,24/03/2022,22.21,2022-03-24,701395200.0
3906,25/03/2022,22.21,2022-03-25,701481600.0
3907,26/03/2022,22.23,2022-03-26,701568000.0
3908,27/03/2022,22.28,2022-03-27,701654400.0
3909,28/03/2022,22.32,2022-03-28,701740800.0
3910,29/03/2022,22.35,2022-03-29,701827200.0
3911,30/03/2022,22.39,2022-03-30,701913600.0
3912,31/03/2022,22.45,2022-03-31,702000000.0
3913,01/04/2022,22.51,2022-04-01,702086400.0
3914,02/04/2022,22.62,2022-04-02,702172800.0
3915,03/04/2022,22.65,2022-04-03,702259200.0
3916,04/04/2022,22.68,2022-04-04,702345600.0
3917,05/04/2022,22.72,2022-04-05,702432000.0
3918,06/04/2022,22.76,2022-04-06,702518400.0
3919,07/04/2022,22.79,2022-04-07,702604800.0
3920,08/04/2022,22.8,2022-04-08,702691200.0
3921,09/04/2022,22.8,2022-04-09,702777600.0
3922,10/04/2022,22.82,2022-04-10,702864000.0
3923,11/04/2022,22.81,2022-04-11,702950400.0
3924,12/04/2022,22.79,2022-04-12,703036800.0
3925,13/04/2022,22.79,2022-04-13,703123200.0
3926,14/04/2022,22.79,2022-04-14,703209600.0
3927,15/04/2022,22.79,2022-04-15,703296000.0
3928,16/04/2022,22.8,2022-04-16,703382400.0
3929,17/04/2022,22.8,2022-04-17,703468800.0
3930,18/04/2022,22.8,2022-04-18,703555200.0
3931,19/04/2022,22.78,2022-04-19,703641600.0
3932,20/04/2022,22.77,2022-04-20,703728000.0
3933,21/04/2022,22.77,2022-04-21,703814400.0
3934,22/04/2022,22.75,2022-04-22,703900800.0
3935,23/04/2022,22.72,2022-04-23,703987200.0
3936,24/04/2022,22.69,2022-04-24,704073600.0
3937,25/04/2022,22.63,2022-04-25,704160000.0
3938,26/04/2022,22.58,2022-04-26,704246400.0
3939,27/04/2022,22.53,2022-04-27,704332800.0
3940,28/04/2022,22.49,2022-04-28,704419200.0
3941,29/04/2022,22.47,2022-04-29,704505600.0
3942,30/04/2022,22.45,2022-04-30,704592000.0
3943,01/05/2022,22.42,2022-05-01,704678400.0
3944,02/05/2022,22.44,2022-05-02,704764800.0
3945,03/05/2022,22.44,2022-05-03,704851200.0
3946,04/05/2022,22.47,2022-05-04,704937600.0
3947,05/05/2022,22.51,2022-05-05,705024000.0
3948,06/05/2022,22.54,2022-05-06,705110400.0
3949,07/05/2022,22.57,2022-05-07,705196800.0
3950,08/05/2022,22.58,2022-05-08,705283200.0
3951,09/05/2022,22.61,2022-05-09,705369600.0
3952,10/05/2022,22.64,2022-05-10,705456000.0
3953,11/05/2022,22.64,2022-05-11,705542400.0
3954,12/05/2022,22.67,2022-05-12,705628800.0
3955,13/05/2022,22.71,2022-05-13,705715200.0
3956,14/05/2022,22.72,2022-05-14,705801600.0
3957,15/05/2022,22.73,2022-05-15,705888000.0
3958,16/05/2022,22.81,2022-05-16,705974400.0
3959,17/05/2022,22.81,2022-05-17,706060800.0
3960,18/05/2022,22.82,2022-05-18,706147200.0
3961,19/05/2022,22.83,2022-05-19,706233600.0
3962,20/05/2022,22.86,2022-05-20,706320000.0
3963,21/05/2022,22.88,2022-05-21,706406400.0
3964,22/05/2022,22.89,2022-05-22,706492800.0
3965,23/05/2022,22.89,2022-05-23,706579200.0
3966,24/05/2022,22.97,2022-05-24,706665600.0
3967,25/05/2022,23.0,2022-05-25,706752000.0
3968,26/05/2022,23.01,2022-05-26,706838400.0
3969,27/05/2022,23.02,2022-05-27,706924800.0
3970,28/05/2022,23.01,2022-05-28,707011200.0
3971,29/05/2022,23.01,2022-05-29,707097600.0
3972,30/05/2022,22.99,2022-05-30,707184000.0
3973,31/05/2022,23.02,2022-05-31,707270400.0
3974,01/06/2022,23.03,2022-06-01,707356800.0
3975,02/06/2022,22.96,2022-06-02,707443200.0
