# Processado em: 2025-02-11T15:06:51.759143
,data_da_medicao,niveldagua_m,date,tempo_s
0,22/06/2015,11.18,2015-06-22,488246400.0
1,23/06/2015,11.19,2015-06-23,488332800.0
2,24/06/2015,11.19,2015-06-24,488419200.0
3,25/06/2015,11.2,2015-06-25,488505600.0
4,26/06/2015,11.21,2015-06-26,488592000.0
5,27/06/2015,11.22,2015-06-27,488678400.0
6,28/06/2015,11.22,2015-06-28,488764800.0
7,29/06/2015,11.23,2015-06-29,488851200.0
8,30/06/2015,11.24,2015-06-30,488937600.0
9,01/07/2015,11.25,2015-07-01,489024000.0
10,02/07/2015,11.25,2015-07-02,489110400.0
11,03/07/2015,11.26,2015-07-03,489196800.0
12,04/07/2015,11.28,2015-07-04,489283200.0
13,05/07/2015,11.28,2015-07-05,489369600.0
14,06/07/2015,11.29,2015-07-06,489456000.0
15,07/07/2015,11.3,2015-07-07,489542400.0
16,08/07/2015,11.31,2015-07-08,489628800.0
17,09/07/2015,11.32,2015-07-09,489715200.0
18,10/07/2015,11.32,2015-07-10,489801600.0
19,11/07/2015,11.33,2015-07-11,489888000.0
20,12/07/2015,11.34,2015-07-12,489974400.0
21,13/07/2015,11.35,2015-07-13,490060800.0
22,14/07/2015,11.36,2015-07-14,490147200.0
23,15/07/2015,11.37,2015-07-15,490233600.0
24,16/07/2015,11.38,2015-07-16,490320000.0
25,17/07/2015,11.39,2015-07-17,490406400.0
26,18/07/2015,11.4,2015-07-18,490492800.0
27,19/07/2015,11.41,2015-07-19,490579200.0
28,20/07/2015,11.42,2015-07-20,490665600.0
29,21/07/2015,11.43,2015-07-21,490752000.0
30,22/07/2015,11.44,2015-07-22,490838400.0
31,23/07/2015,11.45,2015-07-23,490924800.0
32,24/07/2015,11.46,2015-07-24,491011200.0
33,25/07/2015,11.48,2015-07-25,491097600.0
34,26/07/2015,11.48,2015-07-26,491184000.0
35,27/07/2015,11.49,2015-07-27,491270400.0
36,28/07/2015,11.5,2015-07-28,491356800.0
37,29/07/2015,11.51,2015-07-29,491443200.0
38,30/07/2015,11.52,2015-07-30,491529600.0
39,31/07/2015,11.53,2015-07-31,491616000.0
40,01/08/2015,11.54,2015-08-01,491702400.0
41,02/08/2015,11.55,2015-08-02,491788800.0
42,03/08/2015,11.56,2015-08-03,491875200.0
43,04/08/2015,11.57,2015-08-04,491961600.0
44,05/08/2015,11.58,2015-08-05,492048000.0
45,06/08/2015,11.58,2015-08-06,492134400.0
46,07/08/2015,11.6,2015-08-07,492220800.0
47,08/08/2015,11.61,2015-08-08,492307200.0
48,09/08/2015,11.62,2015-08-09,492393600.0
49,10/08/2015,11.63,2015-08-10,492480000.0
50,11/08/2015,11.64,2015-08-11,492566400.0
51,12/08/2015,11.65,2015-08-12,492652800.0
52,13/08/2015,11.66,2015-08-13,492739200.0
53,14/08/2015,11.67,2015-08-14,492825600.0
54,15/08/2015,11.68,2015-08-15,492912000.0
55,16/08/2015,11.69,2015-08-16,492998400.0
56,17/08/2015,11.7,2015-08-17,493084800.0
57,18/08/2015,11.71,2015-08-18,493171200.0
58,19/08/2015,11.72,2015-08-19,493257600.0
59,20/08/2015,11.73,2015-08-20,493344000.0
60,21/08/2015,11.74,2015-08-21,493430400.0
61,22/08/2015,11.74,2015-08-22,493516800.0
62,23/08/2015,11.75,2015-08-23,493603200.0
63,24/08/2015,11.77,2015-08-24,493689600.0
64,25/08/2015,11.78,2015-08-25,493776000.0
65,26/08/2015,11.79,2015-08-26,493862400.0
66,27/08/2015,11.81,2015-08-27,493948800.0
67,28/08/2015,11.81,2015-08-28,494035200.0
68,29/08/2015,11.82,2015-08-29,494121600.0
69,30/08/2015,11.83,2015-08-30,494208000.0
70,31/08/2015,11.84,2015-08-31,494294400.0
71,01/09/2015,11.85,2015-09-01,494380800.0
72,02/09/2015,11.86,2015-09-02,494467200.0
73,03/09/2015,11.87,2015-09-03,494553600.0
74,04/09/2015,11.88,2015-09-04,494640000.0
75,05/09/2015,11.89,2015-09-05,494726400.0
76,06/09/2015,11.9,2015-09-06,494812800.0
77,07/09/2015,11.91,2015-09-07,494899200.0
78,08/09/2015,11.92,2015-09-08,494985600.0
79,09/09/2015,11.93,2015-09-09,495072000.0
80,10/09/2015,11.94,2015-09-10,495158400.0
81,11/09/2015,11.96,2015-09-11,495244800.0
82,12/09/2015,11.96,2015-09-12,495331200.0
83,13/09/2015,11.97,2015-09-13,495417600.0
84,14/09/2015,11.98,2015-09-14,495504000.0
85,15/09/2015,11.99,2015-09-15,495590400.0
86,16/09/2015,12.0,2015-09-16,495676800.0
87,17/09/2015,12.01,2015-09-17,495763200.0
88,18/09/2015,12.02,2015-09-18,495849600.0
89,19/09/2015,12.03,2015-09-19,495936000.0
90,20/09/2015,12.04,2015-09-20,496022400.0
91,21/09/2015,12.05,2015-09-21,496108800.0
92,22/09/2015,12.06,2015-09-22,496195200.0
93,23/09/2015,12.07,2015-09-23,496281600.0
94,24/09/2015,12.08,2015-09-24,496368000.0
95,24/09/2015,12.08,2015-09-24,496368000.0
96,25/09/2015,12.09,2015-09-25,496454400.0
97,02/12/2015,12.61,2015-12-02,502329600.0
98,03/12/2015,12.62,2015-12-03,502416000.0
99,04/12/2015,12.62,2015-12-04,502502400.0
100,05/12/2015,12.63,2015-12-05,502588800.0
101,06/12/2015,12.63,2015-12-06,502675200.0
102,07/12/2015,12.63,2015-12-07,502761600.0
103,08/12/2015,12.64,2015-12-08,502848000.0
104,09/12/2015,12.64,2015-12-09,502934400.0
105,10/12/2015,12.64,2015-12-10,503020800.0
106,11/12/2015,12.65,2015-12-11,503107200.0
107,12/12/2015,12.65,2015-12-12,503193600.0
108,13/12/2015,12.66,2015-12-13,503280000.0
109,14/12/2015,12.66,2015-12-14,503366400.0
110,15/12/2015,12.66,2015-12-15,503452800.0
111,16/12/2015,12.66,2015-12-16,503539200.0
112,17/12/2015,12.66,2015-12-17,503625600.0
113,18/12/2015,12.66,2015-12-18,503712000.0
114,19/12/2015,12.66,2015-12-19,503798400.0
115,20/12/2015,12.66,2015-12-20,503884800.0
116,21/12/2015,12.66,2015-12-21,503971200.0
117,22/12/2015,12.66,2015-12-22,504057600.0
118,23/12/2015,12.66,2015-12-23,504144000.0
119,24/12/2015,12.67,2015-12-24,504230400.0
120,25/12/2015,12.67,2015-12-25,504316800.0
121,26/12/2015,12.67,2015-12-26,504403200.0
122,27/12/2015,12.67,2015-12-27,504489600.0
123,28/12/2015,12.67,2015-12-28,504576000.0
124,29/12/2015,12.68,2015-12-29,504662400.0
125,30/12/2015,12.67,2015-12-30,504748800.0
126,31/12/2015,12.67,2015-12-31,504835200.0
127,01/01/2016,12.67,2016-01-01,504921600.0
128,02/01/2016,12.67,2016-01-02,505008000.0
129,03/01/2016,12.66,2016-01-03,505094400.0
