# Processado em: 2025-03-10T18:24:57.663471
,data_da_medicao,niveldagua_m,date,tempo_s
105,13/07/2011,19.06,2011-07-13,363830400.0
106,14/07/2011,19.05,2011-07-14,363916800.0
107,15/07/2011,19.07,2011-07-15,364003200.0
108,16/07/2011,19.1,2011-07-16,364089600.0
109,17/07/2011,19.1,2011-07-17,364176000.0
110,18/07/2011,19.11,2011-07-18,364262400.0
111,19/07/2011,19.12,2011-07-19,364348800.0
112,20/07/2011,19.14,2011-07-20,364435200.0
113,21/07/2011,19.15,2011-07-21,364521600.0
114,22/07/2011,19.18,2011-07-22,364608000.0
115,23/07/2011,19.17,2011-07-23,364694400.0
116,24/07/2011,19.17,2011-07-24,364780800.0
117,25/07/2011,19.15,2011-07-25,364867200.0
118,26/07/2011,19.15,2011-07-26,364953600.0
119,27/07/2011,19.15,2011-07-27,365040000.0
120,28/07/2011,19.14,2011-07-28,365126400.0
121,29/07/2011,19.14,2011-07-29,365212800.0
122,30/07/2011,19.15,2011-07-30,365299200.0
123,31/07/2011,19.17,2011-07-31,365385600.0
124,01/08/2011,19.17,2011-08-01,365472000.0
125,02/08/2011,19.19,2011-08-02,365558400.0
126,03/08/2011,19.2,2011-08-03,365644800.0
127,04/08/2011,19.17,2011-08-04,365731200.0
128,05/08/2011,19.14,2011-08-05,365817600.0
129,06/08/2011,19.13,2011-08-06,365904000.0
130,07/08/2011,19.13,2011-08-07,365990400.0
131,08/08/2011,19.1,2011-08-08,366076800.0
132,09/08/2011,19.1,2011-08-09,366163200.0
133,10/08/2011,19.09,2011-08-10,366249600.0
134,11/08/2011,19.1,2011-08-11,366336000.0
135,12/08/2011,19.1,2011-08-12,366422400.0
136,13/08/2011,19.12,2011-08-13,366508800.0
137,14/08/2011,19.12,2011-08-14,366595200.0
138,15/08/2011,19.12,2011-08-15,366681600.0
139,16/08/2011,19.13,2011-08-16,366768000.0
140,17/08/2011,19.13,2011-08-17,366854400.0
141,18/08/2011,19.12,2011-08-18,366940800.0
142,19/08/2011,19.11,2011-08-19,367027200.0
143,20/08/2011,19.17,2011-08-20,367113600.0
144,21/08/2011,19.16,2011-08-21,367200000.0
145,22/08/2011,19.11,2011-08-22,367286400.0
146,23/08/2011,19.11,2011-08-23,367372800.0
147,24/08/2011,19.09,2011-08-24,367459200.0
148,25/08/2011,19.07,2011-08-25,367545600.0
149,26/08/2011,19.07,2011-08-26,367632000.0
150,27/08/2011,19.08,2011-08-27,367718400.0
151,28/08/2011,19.09,2011-08-28,367804800.0
152,29/08/2011,19.1,2011-08-29,367891200.0
153,30/08/2011,19.09,2011-08-30,367977600.0
154,31/08/2011,19.09,2011-08-31,368064000.0
155,01/09/2011,19.01,2011-09-01,368150400.0
156,02/09/2011,19.01,2011-09-02,368236800.0
157,03/09/2011,19.04,2011-09-03,368323200.0
158,04/09/2011,19.06,2011-09-04,368409600.0
159,05/09/2011,19.08,2011-09-05,368496000.0
160,06/09/2011,19.07,2011-09-06,368582400.0
161,07/09/2011,19.07,2011-09-07,368668800.0
162,08/09/2011,19.07,2011-09-08,368755200.0
163,09/09/2011,19.08,2011-09-09,368841600.0
164,10/09/2011,19.1,2011-09-10,368928000.0
165,11/09/2011,19.13,2011-09-11,369014400.0
166,12/09/2011,19.12,2011-09-12,369100800.0
167,13/09/2011,19.12,2011-09-13,369187200.0
168,14/09/2011,19.1,2011-09-14,369273600.0
169,15/09/2011,19.07,2011-09-15,369360000.0
170,16/09/2011,19.08,2011-09-16,369446400.0
171,17/09/2011,19.1,2011-09-17,369532800.0
172,18/09/2011,19.12,2011-09-18,369619200.0
173,19/09/2011,19.12,2011-09-19,369705600.0
174,20/09/2011,19.12,2011-09-20,369792000.0
175,21/09/2011,19.11,2011-09-21,369878400.0
176,22/09/2011,19.09,2011-09-22,369964800.0
177,23/09/2011,19.11,2011-09-23,370051200.0
178,24/09/2011,19.14,2011-09-24,370137600.0
179,25/09/2011,19.13,2011-09-25,370224000.0
180,26/09/2011,19.13,2011-09-26,370310400.0
181,27/09/2011,19.14,2011-09-27,370396800.0
182,28/09/2011,19.15,2011-09-28,370483200.0
183,29/09/2011,19.14,2011-09-29,370569600.0
184,30/09/2011,19.14,2011-09-30,370656000.0
185,01/10/2011,19.13,2011-10-01,370742400.0
186,02/10/2011,19.15,2011-10-02,370828800.0
187,03/10/2011,19.15,2011-10-03,370915200.0
188,04/10/2011,19.13,2011-10-04,371001600.0
189,05/10/2011,19.15,2011-10-05,371088000.0
190,06/10/2011,19.15,2011-10-06,371174400.0
191,07/10/2011,19.15,2011-10-07,371260800.0
192,08/10/2011,19.16,2011-10-08,371347200.0
193,09/10/2011,19.16,2011-10-09,371433600.0
194,10/10/2011,19.15,2011-10-10,371520000.0
195,11/10/2011,19.12,2011-10-11,371606400.0
196,12/10/2011,19.13,2011-10-12,371692800.0
197,13/10/2011,19.14,2011-10-13,371779200.0
198,14/10/2011,19.16,2011-10-14,371865600.0
199,15/10/2011,19.16,2011-10-15,371952000.0
200,16/10/2011,19.18,2011-10-16,372038400.0
201,17/10/2011,19.19,2011-10-17,372124800.0
