# Processado em: 2025-03-10T18:29:05.562124
,data_da_medicao,niveldagua_m,date,tempo_s
2990,08/06/2021,22.27,2021-06-08,676425600.0
2991,09/06/2021,22.29,2021-06-09,676512000.0
2992,10/06/2021,22.3,2021-06-10,676598400.0
2993,11/06/2021,22.34,2021-06-11,676684800.0
2994,12/06/2021,22.3,2021-06-12,676771200.0
2995,13/06/2021,22.31,2021-06-13,676857600.0
2996,14/06/2021,22.33,2021-06-14,676944000.0
2997,15/06/2021,22.33,2021-06-15,677030400.0
2998,16/06/2021,22.35,2021-06-16,677116800.0
2999,17/06/2021,22.37,2021-06-17,677203200.0
3000,18/06/2021,22.38,2021-06-18,677289600.0
3001,19/06/2021,22.4,2021-06-19,677376000.0
3002,20/06/2021,22.4,2021-06-20,677462400.0
3003,21/06/2021,22.42,2021-06-21,677548800.0
3004,22/06/2021,22.47,2021-06-22,677635200.0
3005,23/06/2021,22.52,2021-06-23,677721600.0
3006,24/06/2021,22.53,2021-06-24,677808000.0
3007,25/06/2021,22.55,2021-06-25,677894400.0
3008,26/06/2021,22.54,2021-06-26,677980800.0
3009,27/06/2021,22.49,2021-06-27,678067200.0
3010,28/06/2021,22.54,2021-06-28,678153600.0
3011,29/06/2021,22.54,2021-06-29,678240000.0
3012,30/06/2021,22.57,2021-06-30,678326400.0
3013,01/07/2021,22.53,2021-07-01,678412800.0
3014,02/07/2021,22.56,2021-07-02,678499200.0
3015,03/07/2021,22.6,2021-07-03,678585600.0
3016,04/07/2021,22.57,2021-07-04,678672000.0
3017,05/07/2021,22.57,2021-07-05,678758400.0
3018,06/07/2021,22.59,2021-07-06,678844800.0
3019,07/07/2021,22.61,2021-07-07,678931200.0
3020,08/07/2021,22.64,2021-07-08,679017600.0
3021,09/07/2021,22.65,2021-07-09,679104000.0
3022,10/07/2021,22.62,2021-07-10,679190400.0
3023,11/07/2021,22.62,2021-07-11,679276800.0
3024,12/07/2021,22.63,2021-07-12,679363200.0
3025,13/07/2021,22.66,2021-07-13,679449600.0
3026,14/07/2021,22.68,2021-07-14,679536000.0
3027,15/07/2021,22.67,2021-07-15,679622400.0
3028,16/07/2021,22.67,2021-07-16,679708800.0
3029,17/07/2021,22.71,2021-07-17,679795200.0
3030,18/07/2021,22.72,2021-07-18,679881600.0
3031,19/07/2021,22.72,2021-07-19,679968000.0
3032,20/07/2021,22.73,2021-07-20,680054400.0
3033,21/07/2021,22.76,2021-07-21,680140800.0
3034,22/07/2021,22.76,2021-07-22,680227200.0
3035,23/07/2021,22.77,2021-07-23,680313600.0
3036,24/07/2021,22.77,2021-07-24,680400000.0
3037,25/07/2021,22.82,2021-07-25,680486400.0
3038,26/07/2021,22.82,2021-07-26,680572800.0
3039,27/07/2021,22.86,2021-07-27,680659200.0
3040,28/07/2021,22.82,2021-07-28,680745600.0
3041,29/07/2021,22.83,2021-07-29,680832000.0
3042,30/07/2021,22.88,2021-07-30,680918400.0
3043,31/07/2021,22.87,2021-07-31,681004800.0
3044,01/08/2021,22.87,2021-08-01,681091200.0
3045,02/08/2021,22.87,2021-08-02,681177600.0
3046,03/08/2021,22.95,2021-08-03,681264000.0
3047,04/08/2021,22.9,2021-08-04,681350400.0
3048,05/08/2021,22.9,2021-08-05,681436800.0
3049,06/08/2021,22.91,2021-08-06,681523200.0
3050,07/08/2021,22.92,2021-08-07,681609600.0
3051,08/08/2021,22.93,2021-08-08,681696000.0
3052,09/08/2021,22.95,2021-08-09,681782400.0
3053,10/08/2021,22.95,2021-08-10,681868800.0
3054,11/08/2021,22.99,2021-08-11,681955200.0
3055,12/08/2021,23.0,2021-08-12,682041600.0
3056,13/08/2021,23.03,2021-08-13,682128000.0
3057,14/08/2021,23.04,2021-08-14,682214400.0
3058,15/08/2021,23.07,2021-08-15,682300800.0
3059,16/08/2021,23.09,2021-08-16,682387200.0
3060,17/08/2021,23.12,2021-08-17,682473600.0
3061,18/08/2021,23.2,2021-08-18,682560000.0
3062,19/08/2021,23.17,2021-08-19,682646400.0
3063,20/08/2021,23.16,2021-08-20,682732800.0
3064,21/08/2021,23.12,2021-08-21,682819200.0
3065,22/08/2021,23.09,2021-08-22,682905600.0
3066,23/08/2021,23.12,2021-08-23,682992000.0
3067,24/08/2021,23.14,2021-08-24,683078400.0
3068,25/08/2021,23.12,2021-08-25,683164800.0
3069,26/08/2021,23.12,2021-08-26,683251200.0
3070,27/08/2021,23.14,2021-08-27,683337600.0
3071,28/08/2021,23.14,2021-08-28,683424000.0
3072,29/08/2021,23.18,2021-08-29,683510400.0
3073,30/08/2021,23.14,2021-08-30,683596800.0
3074,31/08/2021,23.15,2021-08-31,683683200.0
3075,01/09/2021,23.19,2021-09-01,683769600.0
3076,02/09/2021,23.23,2021-09-02,683856000.0
3077,03/09/2021,23.19,2021-09-03,683942400.0
3078,04/09/2021,23.22,2021-09-04,684028800.0
3079,05/09/2021,23.23,2021-09-05,684115200.0
3080,06/09/2021,23.21,2021-09-06,684201600.0
3081,07/09/2021,23.22,2021-09-07,684288000.0
3082,08/09/2021,23.24,2021-09-08,684374400.0
3083,09/09/2021,23.23,2021-09-09,684460800.0
3084,10/09/2021,23.27,2021-09-10,684547200.0
3085,11/09/2021,23.25,2021-09-11,684633600.0
3086,12/09/2021,23.28,2021-09-12,684720000.0
3087,13/09/2021,23.3,2021-09-13,684806400.0
3088,14/09/2021,23.28,2021-09-14,684892800.0
3089,15/09/2021,23.31,2021-09-15,684979200.0
3090,16/09/2021,23.36,2021-09-16,685065600.0
3091,17/09/2021,23.41,2021-09-17,685152000.0
3092,18/09/2021,23.37,2021-09-18,685238400.0
3093,19/09/2021,23.36,2021-09-19,685324800.0
3094,20/09/2021,23.35,2021-09-20,685411200.0
3095,21/09/2021,23.36,2021-09-21,685497600.0
3096,22/09/2021,23.38,2021-09-22,685584000.0
3097,23/09/2021,23.41,2021-09-23,685670400.0
3098,24/09/2021,23.43,2021-09-24,685756800.0
3099,25/09/2021,23.41,2021-09-25,685843200.0
3100,26/09/2021,23.4,2021-09-26,685929600.0
3101,27/09/2021,23.42,2021-09-27,686016000.0
