# Processado em: 2025-03-10T18:25:57.120081
,data_da_medicao,niveldagua_m,date,tempo_s
121,18/11/2011,3.93,2011-11-18,374889600.0
122,19/11/2011,3.96,2011-11-19,374976000.0
123,20/11/2011,3.99,2011-11-20,375062400.0
124,21/11/2011,4.01,2011-11-21,375148800.0
125,22/11/2011,3.97,2011-11-22,375235200.0
126,23/11/2011,3.93,2011-11-23,375321600.0
127,24/11/2011,3.95,2011-11-24,375408000.0
128,25/11/2011,3.97,2011-11-25,375494400.0
129,26/11/2011,4.0,2011-11-26,375580800.0
130,27/11/2011,4.03,2011-11-27,375667200.0
131,28/11/2011,4.06,2011-11-28,375753600.0
132,29/11/2011,4.08,2011-11-29,375840000.0
133,30/11/2011,4.1,2011-11-30,375926400.0
134,01/12/2011,4.15,2011-12-01,376012800.0
135,02/12/2011,4.19,2011-12-02,376099200.0
136,03/12/2011,4.21,2011-12-03,376185600.0
137,04/12/2011,4.25,2011-12-04,376272000.0
138,05/12/2011,4.29,2011-12-05,376358400.0
139,06/12/2011,4.32,2011-12-06,376444800.0
140,07/12/2011,4.35,2011-12-07,376531200.0
141,08/12/2011,4.37,2011-12-08,376617600.0
142,09/12/2011,4.39,2011-12-09,376704000.0
143,10/12/2011,4.42,2011-12-10,376790400.0
144,11/12/2011,4.45,2011-12-11,376876800.0
145,12/12/2011,4.46,2011-12-12,376963200.0
146,13/12/2011,4.48,2011-12-13,377049600.0
147,14/12/2011,4.49,2011-12-14,377136000.0
148,15/12/2011,4.52,2011-12-15,377222400.0
149,16/12/2011,4.54,2011-12-16,377308800.0
150,17/12/2011,4.56,2011-12-17,377395200.0
151,18/12/2011,4.58,2011-12-18,377481600.0
152,19/12/2011,4.61,2011-12-19,377568000.0
153,20/12/2011,4.64,2011-12-20,377654400.0
154,21/12/2011,4.66,2011-12-21,377740800.0
155,22/12/2011,4.69,2011-12-22,377827200.0
156,23/12/2011,4.72,2011-12-23,377913600.0
157,24/12/2011,4.73,2011-12-24,378000000.0
158,25/12/2011,4.75,2011-12-25,378086400.0
159,26/12/2011,4.76,2011-12-26,378172800.0
160,27/12/2011,4.77,2011-12-27,378259200.0
161,28/12/2011,4.77,2011-12-28,378345600.0
162,29/12/2011,4.77,2011-12-29,378432000.0
163,30/12/2011,4.78,2011-12-30,378518400.0
164,31/12/2011,4.77,2011-12-31,378604800.0
165,01/01/2012,4.67,2012-01-01,378691200.0
166,02/01/2012,4.6,2012-01-02,378777600.0
167,03/01/2012,4.61,2012-01-03,378864000.0
168,04/01/2012,4.65,2012-01-04,378950400.0
169,05/01/2012,4.67,2012-01-05,379036800.0
170,06/01/2012,4.7,2012-01-06,379123200.0
171,07/01/2012,4.72,2012-01-07,379209600.0
172,08/01/2012,4.75,2012-01-08,379296000.0
173,09/01/2012,4.77,2012-01-09,379382400.0
174,10/01/2012,4.77,2012-01-10,379468800.0
175,11/01/2012,4.79,2012-01-11,379555200.0
176,12/01/2012,4.82,2012-01-12,379641600.0
177,13/01/2012,4.83,2012-01-13,379728000.0
178,14/01/2012,4.45,2012-01-14,379814400.0
179,15/01/2012,4.16,2012-01-15,379900800.0
180,16/01/2012,4.17,2012-01-16,379987200.0
181,17/01/2012,4.18,2012-01-17,380073600.0
182,18/01/2012,4.19,2012-01-18,380160000.0
183,19/01/2012,4.19,2012-01-19,380246400.0
184,20/01/2012,4.2,2012-01-20,380332800.0
185,21/01/2012,4.2,2012-01-21,380419200.0
186,22/01/2012,4.29,2012-01-22,380505600.0
187,23/01/2012,4.31,2012-01-23,380592000.0
188,24/01/2012,4.32,2012-01-24,380678400.0
189,25/01/2012,4.33,2012-01-25,380764800.0
190,26/01/2012,4.34,2012-01-26,380851200.0
191,27/01/2012,4.34,2012-01-27,380937600.0
192,28/01/2012,4.36,2012-01-28,381024000.0
193,29/01/2012,4.38,2012-01-29,381110400.0
194,30/01/2012,4.41,2012-01-30,381196800.0
195,31/01/2012,4.44,2012-01-31,381283200.0
196,01/02/2012,4.47,2012-02-01,381369600.0
197,02/02/2012,4.5,2012-02-02,381456000.0
198,03/02/2012,4.54,2012-02-03,381542400.0
199,04/02/2012,4.54,2012-02-04,381628800.0
200,05/02/2012,4.55,2012-02-05,381715200.0
201,06/02/2012,4.56,2012-02-06,381801600.0
202,07/02/2012,4.58,2012-02-07,381888000.0
203,08/02/2012,4.6,2012-02-08,381974400.0
204,09/02/2012,4.62,2012-02-09,382060800.0
205,10/02/2012,4.63,2012-02-10,382147200.0
206,11/02/2012,4.63,2012-02-11,382233600.0
207,12/02/2012,4.65,2012-02-12,382320000.0
208,13/02/2012,4.68,2012-02-13,382406400.0
209,14/02/2012,4.7,2012-02-14,382492800.0
210,15/02/2012,4.64,2012-02-15,382579200.0
211,16/02/2012,4.6,2012-02-16,382665600.0
212,17/02/2012,4.6,2012-02-17,382752000.0
213,18/02/2012,4.61,2012-02-18,382838400.0
214,19/02/2012,4.64,2012-02-19,382924800.0
215,20/02/2012,4.65,2012-02-20,383011200.0
216,21/02/2012,4.67,2012-02-21,383097600.0
217,22/02/2012,4.68,2012-02-22,383184000.0
218,23/02/2012,4.69,2012-02-23,383270400.0
219,24/02/2012,4.7,2012-02-24,383356800.0
220,25/02/2012,4.7,2012-02-25,383443200.0
221,26/02/2012,4.4,2012-02-26,383529600.0
222,27/02/2012,4.3,2012-02-27,383616000.0
223,28/02/2012,4.1,2012-02-28,383702400.0
224,29/02/2012,3.98,2012-02-29,383788800.0
225,01/03/2012,3.83,2012-03-01,383875200.0
226,02/03/2012,3.73,2012-03-02,383961600.0
227,03/03/2012,3.75,2012-03-03,384048000.0
228,04/03/2012,3.77,2012-03-04,384134400.0
